Time taken by parallel program: 10179635 microseconds
) 1201717(0.210257)
116167(0.620198) 1515080(0.700463)
1656273(0.605488) 1515080(0.700463)
695753(0.111886) 138342(0.221833)
887938(0.118211) 605690(0.206437)
1343231(0.112396) 605690(0.206437)
1814369(0.149492) 605690(0.206437)
739921(0.402487) 1989235(0.551301)
1012779(0.480654) 1989235(0.551301)
295506(0.730873) 1342324(0.835203)
473814(0.797562) 1342324(0.835203)
1452820(0.764873) 1342324(0.835203)
1495152(0.471136) 1420998(0.551851)
1420998(0.551851) 1223026(0.691282)
1780060(0.31725) 1466619(0.441087)
953072(0.0924431) 287899(0.180152)
1032624(0.399235) 271520(0.505249)
1032624(0.399235) 666224(0.505257)
1032624(0.399235) 1694879(0.548309)
1726452(0.394859) 271520(0.505249)
1726452(0.394859) 666224(0.505257)
1726452(0.394859) 1694879(0.548309)
54606(0.294945) 90892(0.396399)
54606(0.294945) 1513269(0.438589)
823181(0.480645) 332040(0.596608)
1513269(0.438589) 332040(0.596608)
332040(0.596608) 663957(0.737186)
332040(0.596608) 950193(0.723669)
1433205(0.133428) 1719464(0.274346)
1429877(0.315191) 710576(0.406761)
1719464(0.274346) 710576(0.406761)
683477(0.604608) 921769(0.760555)
921769(0.760555) 1320364(0.864391)
1659065(0.655059) 965771(0.773591)
267276(0.465326) 1469484(0.525205)
267276(0.465326) 1657447(0.525882)
890030(0.450492) 1469484(0.525205)
890030(0.450492) 1657447(0.525882)
1727739(0.492141) 1469484(0.525205)
1727739(0.492141) 1657447(0.525882)
1170419(0.492151) 855415(0.585405)
1170419(0.492151) 1826519(0.516818)
855415(0.585405) 552444(0.671165)
1826519(0.516818) 552444(0.671165)
561527(0.28081) 1659105(0.431204)
45227(0.767269) 446674(0.903127)
831268(0.134864) 1548596(0.178962)
944079(0.53321) 747403(0.691469)
992721(0.158183) 738315(0.174577)
992721(0.158183) 1180184(0.31468)
1279838(0.0307008) 738315(0.174577)
486942(0.451606) 1598089(0.505042)
792635(0.432046) 1598089(0.505042)
1543665(0.373412) 1598089(0.505042)
1852737(0.141846) 1206644(0.228197)
1640895(0.485118) 1628226(0.631673)
1628226(0.631673) 1692105(0.714861)
1459889(0.462635) 1084400(0.604315)
1459889(0.462635) 1696859(0.597951)
1084400(0.604315) 727162(0.676832)
1696859(0.597951) 727162(0.676832)
1507511(0.399942) 1024153(0.534821)
1507511(0.399942) 1501637(0.512866)
1576829(0.459097) 39954(0.618647)
1576829(0.459097) 1024153(0.534821)
1576829(0.459097) 1462744(0.573973)
1576829(0.459097) 1501637(0.512866)
1576829(0.459097) 1668951(0.58264)
39954(0.618647) 737127(0.762064)
39954(0.618647) 1370548(0.717698)
1462744(0.573973) 1370548(0.717698)
1668951(0.58264) 1370548(0.717698)
1174215(0.822201) 837504(0.97622)
1174215(0.822201) 1924946(0.934992)
276132(0.604003) 835502(0.716455)
70934(0.511627) 984038(0.670779)
1160863(0.802001) 786146(0.944868)
1160863(0.802001) 1460398(0.838574)
1160863(0.802001) 1678529(0.937109)
408046(0.453947) 528582(0.511725)
408046(0.453947) 1861340(0.569454)
1216073(0.0997353) 1234061(0.245992)
1234061(0.245992) 404827(0.375953)
1796946(0.297093) 404827(0.375953)
404827(0.375953) 1765391(0.507894)
1178981(0.100308) 24482(0.214396)
1178981(0.100308) 141101(0.262446)
487795(0.333232) 1094967(0.4823)
1094967(0.4823) 1147057(0.560195)
1094967(0.4823) 1506404(0.55572)
1167089(0.647232) 1696266(0.753844)
1314366(0.3153) 638343(0.47611)
568681(0.483012) 106744(0.62867)
568681(0.483012) 1416080(0.554238)
568681(0.483012) 1626790(0.606089)
638343(0.47611) 106744(0.62867)
638343(0.47611) 1416080(0.554238)
638343(0.47611) 1626790(0.606089)
571255(0.103273) 1167508(0.225482)
668322(0.0795344) 1167508(0.225482)
1161604(0.129496) 1167508(0.225482)
464072(0.108041) 639234(0.249141)
1504655(0.651424) 546238(0.802964)
1090696(0.365201) 1478491(0.516248)
330867(0.481174) 1929485(0.521948)
421446(0.151181) 934346(0.245612)
945751(0.112111) 934346(0.245612)
350484(0.131361) 488945(0.189986)
520867(0.10053) 472780(0.212358)
392385(0.616585) 173004(0.679289)
886008(0.797715) 1816943(0.889743)
886008(0.797715) 1927829(0.852046)
1148890(0.781609) 1816943(0.889743)
1148890(0.781609) 1927829(0.852046)
1345701(0.27285) 189466(0.337954)
1345701(0.27285) 1911061(0.348634)
787925(0.492312) 1548030(0.545025)
209512(0.66053) 845908(0.743728)
1052474(0.587678) 845908(0.743728)
845908(0.743728) 1645742(0.873668)
153474(0.593164) 1087526(0.724081)
153474(0.593164) 1155991(0.708229)
1539554(0.558291) 1155991(0.708229)
1983581(0.611939) 1087526(0.724081)
1983581(0.611939) 1155991(0.708229)
1524953(0.784544) 119192(0.857761)
1493151(0.319124) 979778(0.352251)
1493151(0.319124) 1072858(0.396814)
1493151(0.319124) 1491862(0.349822)
731832(0.807619) 196685(0.919563)
1322242(0.124172) 836746(0.24225)
1322242(0.124172) 1185082(0.194299)
836746(0.24225) 1634374(0.358772)
149593(0.621344) 549365(0.708411)
149593(0.621344) 1991357(0.711459)
1582312(0.605832) 1242995(0.677925)
960556(0.464541) 118452(0.526976)
960556(0.464541) 516437(0.514706)
960556(0.464541) 720359(0.570565)
960556(0.464541) 808609(0.572456)
753355(0.307944) 101224(0.350519)
1976708(0.621693) 1912286(0.741688)
603717(0.115436) 1228454(0.258717)
1228454(0.258717) 76202(0.401559)
425460(0.145625) 471801(0.249545)
1318627(0.102068) 471801(0.249545)
1819072(0.331616) 1536836(0.423609)
1536836(0.423609) 1140629(0.538199)
233162(0.197349) 986619(0.345567)
584310(0.286681) 919295(0.44012)
584310(0.286681) 986619(0.345567)
584310(0.286681) 1524401(0.379291)
767753(0.816509) 1540551(0.90822)
1662553(0.800722) 1540551(0.90822)
1501796(0.258284) 684904(0.383629)
867246(0.610453) 260130(0.735328)
1811516(0.462116) 401922(0.548562)
401922(0.548562) 180327(0.691421)
180327(0.691421) 800869(0.83483)
839171(0.782612) 800869(0.83483)
1236668(0.827172) 834700(0.974255)
1236668(0.827172) 1123212(0.906951)
1236668(0.827172) 1610538(0.924019)
1557926(0.790269) 508742(0.892797)
702910(0.0698053) 81754(0.175219)
702910(0.0698053) 536816(0.212725)
702910(0.0698053) 1284062(0.185241)
702910(0.0698053) 1641489(0.22384)
1587806(0.0674262) 81754(0.175219)
1587806(0.0674262) 536816(0.212725)
1587806(0.0674262) 1284062(0.185241)
1587806(0.0674262) 1641489(0.22384)
326896(0.331346) 1803762(0.356623)
536816(0.212725) 1803762(0.356623)
